Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,290.239990,291.429993,288.660004,290.019989,267.618378,228726700
2019-04-22,289.170013,293.489990,289.070007,293.410004,270.746613,251486900
2019-04-29,293.510010,294.950012,289.519989,294.029999,271.318695,331555200
2019-05-06,289.250000,293.309998,282.299988,288.100006,265.846741,559396700
2019-05-13,282.420013,289.209991,279.929993,285.839996,263.761292,455352700
2019-05-20,284.059998,286.929993,280.570007,282.779999,260.937622,313209100
2019-05-27,283.089996,284.149994,275.239990,275.269989,254.007797,324388900
2019-06-03,275.309998,288.850006,273.089996,287.649994,265.431458,388532200
2019-06-10,289.369995,291.399994,287.820007,289.260010,266.917084,267806600
2019-06-17,289.519989,296.309998,289.179993,294.000000,271.290985,403194400
2019-06-24,294.230011,294.579987,290.350006,293.000000,271.683289,280902400
2019-07-01,296.679993,298.820007,294.329987,298.459991,276.745941,232786300
2019-07-08,297.010010,300.730011,295.480011,300.649994,278.776672,236543700
2019-07-15,301.130005,301.130005,296.700012,297.170013,275.549896,216657600
2019-07-22,297.609985,302.230011,297.040009,302.010010,280.037720,235894000
2019-07-29,301.880005,302.010010,290.899994,292.619995,271.330902,447617000
2019-08-05,288.089996,293.619995,281.720001,291.619995,270.403625,621473300
2019-08-12,289.959991,294.149994,282.390015,288.850006,267.835175,478024400
2019-08-19,292.190002,293.929993,283.470001,284.850006,264.126160,355520800
2019-08-26,287.269989,294.239990,285.250000,292.450012,271.173279,319590000
2019-09-02,290.570007,298.829987,289.269989,298.049988,276.365784,248831100
2019-09-09,299.140015,302.459991,295.970001,301.089996,279.184631,313042000
2019-09-16,299.839996,302.630005,297.410004,298.279999,276.579132,339168000
2019-09-23,297.549988,299.839996,293.690002,295.399994,275.173553,351126500
2019-09-30,295.970001,298.459991,284.820007,294.350006,274.195465,412814300
2019-10-07,293.470001,298.739990,288.489990,296.279999,275.993256,371694700
2019-10-14,295.929993,300.239990,295.570007,297.970001,277.567535,246118100
2019-10-21,299.420013,302.200012,298.500000,301.600006,280.949005,202654000
2019-10-28,302.940002,306.190002,301.730011,306.140015,285.178131,276271100
2019-11-04,307.850006,309.649994,306.059998,308.940002,287.786407,253331600
2019-11-11,307.420013,311.839996,307.269989,311.790009,290.441254,249443100
2019-11-18,311.529999,312.690002,309.059998,310.959991,289.668121,295953800
2019-11-25,311.980011,315.480011,311.980011,314.309998,292.788696,167253500
2019-12-02,314.589996,315.309998,307.130005,314.869995,293.310364,288425500
2019-12-09,314.440002,318.670013,312.809998,317.320007,295.592651,318810900
2019-12-16,319.220001,321.970001,317.250000,320.730011,298.769226,424433000
2019-12-23,321.589996,323.799988,320.899994,322.859985,302.231964,146700000
2019-12-30,322.950012,324.890015,320.149994,322.410004,301.810699,243667300
2020-01-06,320.489990,327.459991,320.359985,325.709991,304.899872,265948900
2020-01-13,326.390015,332.179993,325.920013,331.950012,310.741211,331872500
2020-01-20,330.899994,332.950012,327.359985,328.769989,307.764435,266198700
2020-01-27,323.029999,328.630005,320.730011,321.730011,301.174133,391122800
2020-02-03,323.350006,334.190002,323.220001,332.200012,310.975189,312106400
2020-02-10,331.230011,338.119995,331.190002,337.600006,316.030212,260011300
2020-02-17,336.510010,339.079987,332.579987,333.480011,312.173431,293992500
2020-02-24,323.140015,333.559998,285.540009,296.260010,277.331543,1244104700
2020-03-02,298.209991,313.839996,290.230011,297.459991,278.454803,1130490100
2020-03-09,275.299988,288.519989,247.679993,269.320007,252.112671,1562964500
2020-03-16,241.179993,256.899994,228.020004,228.800003,214.181610,1523388400
2020-03-23,228.190002,262.799988,218.259995,253.419998,238.623581,1342924000
2020-03-30,255.699997,263.329987,243.899994,248.190002,233.698929,869026800
2020-04-06,257.839996,281.200012,248.169998,278.200012,261.956726,733262100
2020-04-13,277.140015,287.299988,271.410004,286.640015,269.903961,649240600
2020-04-20,282.609985,286.790009,272.019989,282.970001,266.448273,509219500
2020-04-27,285.119995,294.880005,281.519989,282.790009,266.278687,549993900
2020-05-04,280.739990,292.950012,279.130005,292.440002,275.365326,385778500
2020-05-11,290.339996,294.239990,272.989990,286.279999,269.565002,553230300
2020-05-18,293.049988,297.869995,291.950012,295.440002,278.190155,443006900
2020-05-25,301.929993,306.839996,295.459991,304.320007,286.551636,403264800
2020-06-01,303.619995,321.269989,303.059998,319.339996,300.694611,448912200
2020-06-08,320.220001,323.410004,298.600006,304.209991,286.448151,650043700
2020-06-15,298.019989,315.640015,296.739990,308.640015,290.619415,573187400
2020-06-22,307.989990,314.500000,299.420013,300.049988,283.774292,493363100
2020-06-29,301.410004,315.700012,298.929993,312.230011,295.293610,334908800
2020-07-06,316.369995,317.880005,310.679993,317.589996,300.362823,340167000
2020-07-13,320.130005,323.040009,312.000000,321.720001,304.268829,401248400
2020-07-20,321.429993,327.230011,319.250000,320.880005,303.474457,320898500
2020-07-27,321.630005,326.630005,319.640015,326.519989,308.808441,301090700
2020-08-03,328.320007,334.880005,327.730011,334.570007,316.421875,238681200
2020-08-10,335.059998,338.279999,332.010010,336.839996,318.568665,256734100
2020-08-17,337.940002,339.720001,335.220001,339.480011,321.065460,239583500
2020-08-24,342.119995,350.720001,339.450012,350.579987,331.563354,244465300
2020-08-31,350.350006,358.750000,334.869995,342.570007,323.987793,477715300
2020-09-07,336.709991,342.640015,331.000000,334.059998,315.939453,381177300
2020-09-14,337.489990,343.059998,327.970001,330.649994,312.714447,398023800
2020-09-21,325.700012,331.200012,319.799988,328.730011,312.143158,403925800
2020-09-28,333.220001,338.739990,331.190002,333.839996,316.995239,398099500
2020-10-05,336.059998,347.350006,334.380005,346.850006,329.348877,297612700
2020-10-12,349.589996,354.019989,343.130005,347.290009,329.766663,361231500
2020-10-19,348.649994,349.329987,340.649994,345.779999,328.332794,296595700
2020-10-26,342.130005,342.980011,322.600006,326.540009,310.063629,495446400
2020-11-02,330.200012,352.190002,327.239990,350.160004,332.491791,463334900
2020-11-09,363.970001,364.380005,350.510010,358.100006,340.031189,446943600
2020-11-16,360.980011,362.779999,354.149994,355.329987,337.400940,341601600
2020-11-23,357.279999,364.179993,354.869995,363.670013,345.320129,199491500
2020-11-30,362.829987,369.850006,359.170013,369.850006,351.188263,317663000
2020-12-07,369.019989,371.049988,363.260010,366.299988,347.817383,280935500
2020-12-14,368.640015,372.459991,364.470001,369.179993,350.552063,392163800
2020-12-21,364.970001,378.459991,362.029999,369.000000,351.874725,216995000
2020-12-28,371.739990,374.660004,370.829987,373.880005,356.528259,220656900
2021-01-04,375.309998,381.489990,364.820007,381.260010,363.565826,425078700
2021-01-11,377.850006,381.130005,373.700012,375.700012,358.263855,306035100
2021-01-18,378.339996,384.950012,376.750000,382.880005,365.110565,213770000
2021-01-25,383.670013,385.850006,368.269989,370.070007,352.895142,457381600
2021-02-01,373.720001,388.470001,370.380005,387.709991,369.716400,288507800
2021-02-08,389.269989,392.899994,387.500000,392.640015,374.417572,226577300
2021-02-15,393.959991,394.170013,387.739990,390.029999,371.928741,246216800
2021-02-22,387.059998,392.230011,378.230011,380.359985,362.707550,546504300
2021-03-01,385.589996,390.920013,371.880005,383.630005,365.825745,640356900
2021-03-08,384.660004,395.649994,381.420013,394.059998,375.771698,497580800
2021-03-15,394.329987,398.119995,387.149994,389.480011,371.404297,474082600
2021-03-22,390.029999,396.410004,383.899994,395.980011,378.839386,492591500
2021-03-29,394.399994,400.670013,392.809998,400.609985,383.268890,396786900
2021-04-05,403.459991,411.670013,403.380005,411.489990,393.677948,328509800
2021-04-12,410.850006,417.910004,410.200012,417.260010,399.198151,317182900
2021-04-19,416.260010,418.250000,410.589996,416.739990,398.700714,397935300
2021-04-26,417.440002,420.720001,416.299988,417.299988,399.236389,318795700
2021-05-03,419.429993,422.820007,411.670013,422.119995,403.847839,371936900
2021-05-10,422.500000,422.739990,404.000000,416.579987,398.547607,522147000
2021-05-17,415.390015,418.200012,405.329987,414.940002,396.978607,386007400
2021-05-24,417.339996,421.250000,417.079987,420.040009,401.857880,267144600
2021-05-31,422.570007,422.920013,416.279999,422.600006,404.307068,217391300
2021-06-07,422.589996,424.630005,420.320007,424.309998,405.943024,243716500
2021-06-14,424.429993,425.459991,414.700012,414.920013,396.959442,383879100
