Time (week of),Normalized Value (0-100),Absolute Google Search Volume
10/12/2023,90,8163568
17/12/2023,83,7528624
24/12/2023,76,6893680
31/12/2023,87,7891449
07/01/2024,90,8163568
14/01/2024,97,8798512
21/01/2024,93,8435687
28/01/2024,94,8526393
04/02/2024,89,8072862
11/02/2024,98,8889219
18/02/2024,99,8979925
25/02/2024,99,8979925
03/03/2024,98,8889219
10/03/2024,100,9070631
17/03/2024,98,8889219
24/03/2024,100,9070631
31/03/2024,96,8707806
07/04/2024,97,8798512
14/04/2024,97,8798512
